Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_PUNE-AHMEDNAGARHUB_AHN-p,18.6087917,73.7268817,19.120066,74.748246,MOTHERHUB_PUNE,AHMEDNAGARHUB_AHN,43200,213,0
Shipment,MOTHERHUB_PUNE-AHMEDNAGARHUB_AHN-c,18.6087917,73.7268817,19.120066,74.748246,MOTHERHUB_PUNE,AHMEDNAGARHUB_AHN,43200,210,14400
Shipment,MOTHERHUB_PUNE-AKOLAHUB_AKD-p,18.6087917,73.7268817,20.6881142,77.0033407,MOTHERHUB_PUNE,AKOLAHUB_AKD,43200,68,0
Shipment,MOTHERHUB_PUNE-AKOLAHUB_AKD-c,18.6087917,73.7268817,20.6881142,77.0033407,MOTHERHUB_PUNE,AKOLAHUB_AKD,43200,176,14400
Shipment,MOTHERHUB_PUNE-AMRAVATIHUB_AMI-p,18.6087917,73.7268817,20.9246248,77.7514448,MOTHERHUB_PUNE,AMRAVATIHUB_AMI,43200,273,0
Shipment,MOTHERHUB_PUNE-AMRAVATIHUB_AMI-c,18.6087917,73.7268817,20.9246248,77.7514448,MOTHERHUB_PUNE,AMRAVATIHUB_AMI,43200,146,64800
Shipment,MOTHERHUB_PUNE-AURANGABADHUB_IXU-p,18.6087917,73.7268817,19.8668866,75.3479589,MOTHERHUB_PUNE,AURANGABADHUB_IXU,43200,339,0
Shipment,MOTHERHUB_PUNE-AURANGABADHUB_IXU-c,18.6087917,73.7268817,19.8668866,75.3479589,MOTHERHUB_PUNE,AURANGABADHUB_IXU,43200,165,14400
Shipment,MOTHERHUB_PUNE-BARAMATIHUB_BRM-p,18.6087917,73.7268817,18.1803202,74.6079639,MOTHERHUB_PUNE,BARAMATIHUB_BRM,43200,83,0
Shipment,MOTHERHUB_PUNE-BARAMATIHUB_BRM-c,18.6087917,73.7268817,18.1803202,74.6079639,MOTHERHUB_PUNE,BARAMATIHUB_BRM,43200,152,14400
Shipment,MOTHERHUB_PUNE-BEEDHUB_BED-p,18.6087917,73.7268817,18.9861908,75.7443401,MOTHERHUB_PUNE,BEEDHUB_BED,43200,62,0
Shipment,MOTHERHUB_PUNE-BEEDHUB_BED-c,18.6087917,73.7268817,18.9861908,75.7443401,MOTHERHUB_PUNE,BEEDHUB_BED,43200,135,14400
Shipment,MOTHERHUB_PUNE-CORNERROADHUB_IXU-p,18.6087917,73.7268817,19.884946,75.318143,MOTHERHUB_PUNE,CORNERROADHUB_IXU,43200,821,0
Shipment,MOTHERHUB_PUNE-CORNERROADHUB_IXU-c,18.6087917,73.7268817,19.884946,75.318143,MOTHERHUB_PUNE,CORNERROADHUB_IXU,43200,171,14400
Shipment,MOTHERHUB_PUNE-ICHALKARANJIHUB_KHL-p,18.6087917,73.7268817,16.687849,74.473834,MOTHERHUB_PUNE,ICHALKARANJIHUB_KHL,43200,83,0
Shipment,MOTHERHUB_PUNE-ICHALKARANJIHUB_KHL-c,18.6087917,73.7268817,16.687849,74.473834,MOTHERHUB_PUNE,ICHALKARANJIHUB_KHL,43200,166,14400
Shipment,MOTHERHUB_PUNE-ISLAMPURHUB_SNG-p,18.6087917,73.7268817,26.2546,88.1974,MOTHERHUB_PUNE,ISLAMPURHUB_SNG,43200,72,0
Shipment,MOTHERHUB_PUNE-ISLAMPURHUB_SNG-c,18.6087917,73.7268817,26.2546,88.1974,MOTHERHUB_PUNE,ISLAMPURHUB_SNG,43200,125,14400
Shipment,MOTHERHUB_PUNE-JALNAHUB_JLN-p,18.6087917,73.7268817,19.8236752,75.8799406,MOTHERHUB_PUNE,JALNAHUB_JLN,43200,65,0
Shipment,MOTHERHUB_PUNE-JALNAHUB_JLN-c,18.6087917,73.7268817,19.8236752,75.8799406,MOTHERHUB_PUNE,JALNAHUB_JLN,43200,142,14400
Shipment,MOTHERHUB_PUNE-KARADHUB_KRD-p,18.6087917,73.7268817,17.2808646,74.1723004,MOTHERHUB_PUNE,KARADHUB_KRD,43200,63,0
Shipment,MOTHERHUB_PUNE-KARADHUB_KRD-c,18.6087917,73.7268817,17.2808646,74.1723004,MOTHERHUB_PUNE,KARADHUB_KRD,43200,147,14400
Shipment,MOTHERHUB_PUNE-KOLHAPURHUB_KHL-p,18.6087917,73.7268817,16.700753,74.2376312,MOTHERHUB_PUNE,KOLHAPURHUB_KHL,43200,469,0
Shipment,MOTHERHUB_PUNE-KOLHAPURHUB_KHL-c,18.6087917,73.7268817,16.700753,74.2376312,MOTHERHUB_PUNE,KOLHAPURHUB_KHL,43200,144,14400
Shipment,MOTHERHUB_PUNE-LATURHUB_LTU-p,18.6087917,73.7268817,18.3838654,76.5680813,MOTHERHUB_PUNE,LATURHUB_LTU,43200,189,0
Shipment,MOTHERHUB_PUNE-LATURHUB_LTU-c,18.6087917,73.7268817,18.3838654,76.5680813,MOTHERHUB_PUNE,LATURHUB_LTU,43200,195,14400
Shipment,MOTHERHUB_PUNE-NANDEDHUB_NDC-p,18.6087917,73.7268817,19.1574438,77.3097367,MOTHERHUB_PUNE,NANDEDHUB_NDC,43200,360,0
Shipment,MOTHERHUB_PUNE-NANDEDHUB_NDC-c,18.6087917,73.7268817,19.1574438,77.3097367,MOTHERHUB_PUNE,NANDEDHUB_NDC,43200,114,14400
Shipment,MOTHERHUB_PUNE-SANGLIHUB_SNG-p,18.6087917,73.7268817,16.8614942,74.569716,MOTHERHUB_PUNE,SANGLIHUB_SNG,43200,363,0
Shipment,MOTHERHUB_PUNE-SANGLIHUB_SNG-c,18.6087917,73.7268817,16.8614942,74.569716,MOTHERHUB_PUNE,SANGLIHUB_SNG,43200,187,14400
Shipment,MOTHERHUB_PUNE-SATARAHUB_STR-p,18.6087917,73.7268817,17.7143153,74.0257892,MOTHERHUB_PUNE,SATARAHUB_STR,43200,99,0
Shipment,MOTHERHUB_PUNE-SATARAHUB_STR-c,18.6087917,73.7268817,17.7143153,74.0257892,MOTHERHUB_PUNE,SATARAHUB_STR,43200,185,14400
