+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985984888192E17                   | 
| noVehicles    | 37                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 1       | 0-MOTHERHUB_BLR-32   | start                 | -               | undef           | 0               | 0               |
| 1       | 0-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_RAI | 0               | 0               | 0               |
| 1       | 0-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_MED | 0               | 0               | 0               |
| 1       | 0-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_IXR | 0               | 0               | 0               |
| 1       | 0-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_MED | 30331           | 30331           | 1856267         |
| 1       | 0-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MED-MOTHERHUB_KOL | 30331           | 30331           | 1856267         |
| 1       | 0-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MED-MOTHERHUB_IXR | 30331           | 30331           | 1856267         |
| 1       | 0-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_RAI | 67413           | 67413           | 4125650         |
| 1       | 0-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_IXR | 88340           | 88340           | 5406416         |
| 1       | 0-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MED-MOTHERHUB_IXR | 88340           | 88340           | 5406416         |
| 1       | 0-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MED-MOTHERHUB_KOL | 106541          | 106541          | 6520299         |
| 1       | 0-MOTHERHUB_BLR-32   | end                   | -               | 106541          | undef           | 6520299         |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 2       | 2-MOTHERHUB_BLR-32   | start                 | -               | undef           | 0               | 0               |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_LKO | 0               | 0               | 0               |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_GOA | 0               | 0               | 0               |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_MUM | 0               | 0               | 0               |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_STV | 0               | 0               | 0               |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_BIL | 0               | 0               | 0               |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_BAM | 29109           | 29109           | 1781468         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_BIL | 29109           | 29109           | 1781468         |
| 2       | 2-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_GOA | 29109           | 29109           | 1781468         |
| 2       | 2-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_GOA-MOTHERHUB_PUNE | 29109           | 29109           | 1781468         |
