+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985988503168E17                   | 
| noVehicles    | 36                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 1       | 2-MOTHERHUB_BLR-28   | start                 | -               | undef           | 0               | 0               |
| 1       | 2-MOTHERHUB_BLR-28   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_PUNE | 0               | 0               | 0               |
| 1       | 2-MOTHERHUB_BLR-28   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_RAI | 0               | 0               | 0               |
| 1       | 2-MOTHERHUB_BLR-28   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_PUNE | 44910           | 44910           | 2748511         |
| 1       | 2-MOTHERHUB_BLR-28   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_RAI | 101374          | 101374          | 6204082         |
| 1       | 2-MOTHERHUB_BLR-28   | end                   | -               | 101374          | undef           | 6204082         |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 2       | 1-MOTHERHUB_BLR-32   | start                 | -               | undef           | 0               | 0               |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_IXR | 0               | 0               | 0               |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_CHN | 0               | 0               | 0               |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_BBI | 0               | 0               | 0               |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_CHN | 14300           | 14300           | 875146          |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_BBI | 14300           | 14300           | 875146          |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_KOL | 14300           | 14300           | 875146          |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MED-MOTHERHUB_GAU | 45619           | 45619           | 2791892         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MED-MOTHERHUB_KOL | 45619           | 45619           | 2791892         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_PAT | 75856           | 75856           | 4642361         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_BBI | 75856           | 75856           | 4642361         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_IXR | 75856           | 75856           | 4642361         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_KOL | 75856           | 75856           | 4642361         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_PUNE-MOTHERHUB_GAU | 75856           | 75856           | 4642361         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_PAT | 82176           | 82176           | 5029196         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_BBI | 82176           | 82176           | 5029196         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_IXR | 82176           | 82176           | 5029196         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_KOL | 82176           | 82176           | 5029196         |
| 2       | 1-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MUM-MOTHERHUB_GAU | 82176           | 82176           | 5029196         |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_BBI | 162492          | 162492          | 9944514         |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MUM-MOTHERHUB_BBI | 162492          | 162492          | 9944514         |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_BBI | 162492          | 162492          | 9944514         |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_CHN-MOTHERHUB_BBI | 162492          | 162492          | 9944514         |
| 2       | 1-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_PUNE-MOTHERHUB_IXR | 182717          | 182717          | 11182284        |
