type,id,lat,long,vehicleType,capacity,fixedCost,variableCost,Src,connectionTime,speed
truck,MotherHub_MED_22FT_A,17.580668,78.469767,22FT_A,300,800,25,MotherHub_MED,1000,40
truck,MotherHub_MED_22FT_B,17.580668,78.469767,22FT_B,300,800,25,MotherHub_MED,12000,40
truck,MotherHub_MED_24FT_A,17.580668,78.469767,24FT_A,400,1000,30,MotherHub_MED,4000,45
truck,MotherHub_MED_32FT_A,17.580668,78.469767,32FT_A,700,1800,36,MotherHub_MED,80000,50
truck,MotherHub_STV_22FT_A,21.088983,72.915352,22FT_A,300,800,25,MotherHub_STV,500,40
truck,MotherHub_STV_22FT_B,21.088983,72.915352,22FT_B,300,800,25,MotherHub_STV,50000,40
truck,MotherHub_STV_24FT_B,21.088983,72.915352,24FT_B,400,1000,30,MotherHub_STV,20000,45
truck,MotherHub_STV_24FT_A,21.088983,72.915352,24FT_A,400,1000,30,MotherHub_STV,14000,45
truck,MotherHub_STV_32FT_A,21.088983,72.915352,32FT_A,700,1800,36,MotherHub_STV,3000,50
truck,MotherHub_STV_32FT_B,21.088983,72.915352,32FT_B,700,1800,36,MotherHub_STV,19000,50
Airplane,MotherHub_MED_Airplane_A,17.580668,78.469767,Airplane_A,300,2000,40,MotherHub_MED,1000,400
Airplane,MotherHub_MED_Airplane_B,17.580668,78.469767,Airplane_B,700,3000,45,MotherHub_MED,85000,400
Airplane,MotherHub_STV_Airplane_A,21.088983,72.915352,Airplane_A,300,2000,40,MotherHub_STV,600,400
Airplane,MotherHub_STV_Airplane_B,21.088983,72.915352,Airplane_B,700,3000,45,MotherHub_STV,19000,400
