item,id,src_lat,src_long,dest_lat,des_long,source_name,destination_name,Load
Shipments,MotherHub_MED_MotherHub_PAT,17.580668,78.469767,25.585908,85.182063,MotherHub_MED,MotherHub_PAT,372
Shipments,MotherHub_STV_MotherHub_CJB,21.088983,72.915352,11.062704,77.090434,MotherHub_STV,MotherHub_CJB,120
Shipments,MotherHub_PTD_MotherHub_JAI,28.300608,76.820188,26.948758,75.762015,MotherHub_PTD,MotherHub_JAI,115
Shipments,MotherHub_IDR_MotherHub_PAT,22.768738,75.903691,25.585908,85.182063,MotherHub_IDR,MotherHub_PAT,10
Shipments,MotherHub_IDR_MotherHub_BAM,22.768738,75.903691,28.54532,77.029136,MotherHub_IDR,MotherHub_BAM,39
Shipments,Motherhub_JIG_MotherHub_IDR,12.783553,77.644351,22.768738,75.903691,Motherhub_JIG,MotherHub_IDR,8
Shipments,MotherHub_PTI_MotherHub_JAI,28.307612,76.81791,26.948758,75.762015,MotherHub_PTI,MotherHub_JAI,2541
Shipments,MotherHub_KNG_MotherHub_BAM,13.063051,77.741323,28.54532,77.029136,MotherHub_KNG,MotherHub_BAM,724
Shipments,Motherhub_JIG_MotherHub_AMD,12.783553,77.644351,22.88998,72.594151,Motherhub_JIG,MotherHub_AMD,17
Shipments,MotherHub_CHN_MotherHub_PUNE,13.046088,80.069352,18.607342,73.727015,MotherHub_CHN,MotherHub_PUNE,110
Shipments,MotherHub_AMD_MotherHub_MUM,22.88998,72.594151,19.080923,72.879793,MotherHub_AMD,MotherHub_MUM,17
Shipments,MotherHub_KNG_MotherHub_PTI,13.063051,77.741323,28.307612,76.81791,MotherHub_KNG,MotherHub_PTI,810
Shipments,MotherHub_IDR_MotherHub_KNG,22.768738,75.903691,13.063051,77.741323,MotherHub_IDR,MotherHub_KNG,12
Shipments,MotherHub_BLP_MotherHub_MUM,28.294382,76.856416,19.080923,72.879793,MotherHub_BLP,MotherHub_MUM,65
Shipments,MotherHub_MUM_MotherHub_MED,19.080923,72.879793,17.580668,78.469767,MotherHub_MUM,MotherHub_MED,0
Shipments,MotherHub_DKN_MotherHub_GZB,22.740286,88.31672,28.681766,77.530593,MotherHub_DKN,MotherHub_GZB,0
Shipments,MotherHub_KOL_MotherHub_DEL,22.693624,88.487686,28.54912,77.131226,MotherHub_KOL,MotherHub_DEL,1
Shipments,MotherHub_PZH_MotherHub_IXR,13.15093,80.199126,23.349885,85.342528,MotherHub_PZH,MotherHub_IXR,34
Shipments,MotherHub_DEL_MotherHub_GZB,28.54912,77.131226,28.681766,77.530593,MotherHub_DEL,MotherHub_GZB,2
Shipments,MotherHub_KOL_MotherHub_PTI,22.693624,88.487686,28.307612,76.81791,MotherHub_KOL,MotherHub_PTI,263
Shipments,MotherHub_BHI_MotherHub_GAU,19.238673,73.036094,26.111505,91.772078,MotherHub_BHI,MotherHub_GAU,269
Shipments,MotherHub_AMD_MotherHub_IDR,22.88998,72.594151,22.768738,75.903691,MotherHub_AMD,MotherHub_IDR,28
