type,id,lat,long,vehicleType,capacity,fixedCost,variableCost,Src
truck,MotherHub_MED_22FT_A,17.580668,78.469767,22FT_A,300,800,25,MotherHub_MED
truck,MotherHub_MED_22FT_B,17.580668,78.469767,22FT_B,300,800,25,MotherHub_MED
truck,MotherHub_MED_22FT_C,17.580668,78.469767,22FT_C,300,800,25,MotherHub_MED
truck,MotherHub_MED_22FT_D,17.580668,78.469767,22FT_D,300,800,25,MotherHub_MED
truck,MotherHub_MED_24FT_A,17.580668,78.469767,24FT_A,400,1000,30,MotherHub_MED
truck,MotherHub_MED_24FT_B,17.580668,78.469767,24FT_B,400,1000,30,MotherHub_MED
truck,MotherHub_MED_24FT_C,17.580668,78.469767,24FT_C,400,1000,30,MotherHub_MED
truck,MotherHub_MED_24FT_D,17.580668,78.469767,24FT_D,400,1000,30,MotherHub_MED
truck,MotherHub_MED_32FT_A,17.580668,78.469767,32FT_A,700,1800,36,MotherHub_MED
truck,MotherHub_MED_32FT_B,17.580668,78.469767,32FT_B,700,1800,36,MotherHub_MED
truck,MotherHub_MED_32FT_C,17.580668,78.469767,32FT_C,700,1800,36,MotherHub_MED
truck,MotherHub_MED_32FT_D,17.580668,78.469767,32FT_D,700,1800,36,MotherHub_MED
truck,MotherHub_STV_22FT_A,21.088983,72.915352,22FT_A,300,800,25,MotherHub_STV
truck,MotherHub_STV_22FT_B,21.088983,72.915352,22FT_B,300,800,25,MotherHub_STV
truck,MotherHub_STV_22FT_C,21.088983,72.915352,22FT_C,300,800,25,MotherHub_STV
truck,MotherHub_STV_22FT_D,21.088983,72.915352,22FT_D,300,800,25,MotherHub_STV
truck,MotherHub_STV_24FT_A,21.088983,72.915352,24FT_A,400,1000,30,MotherHub_STV
truck,MotherHub_STV_24FT_B,21.088983,72.915352,24FT_B,400,1000,30,MotherHub_STV
truck,MotherHub_STV_24FT_C,21.088983,72.915352,24FT_C,400,1000,30,MotherHub_STV
truck,MotherHub_STV_24FT_D,21.088983,72.915352,24FT_D,400,1000,30,MotherHub_STV
truck,MotherHub_STV_32FT_A,21.088983,72.915352,32FT_A,700,1800,36,MotherHub_STV
truck,MotherHub_STV_32FT_B,21.088983,72.915352,32FT_B,700,1800,36,MotherHub_STV
