Type,key,zonal_connect_lat,zonal_connect_long,destination_mh_lat,destination_mh_long,zonal_connect,destination_mh,Ready_time,Load,del_time
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-LOCAL,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,14400,4374,86392
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-LOCAL,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,14400,8992,94571
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-TRANS-0,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,14400,9000,86332
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-TRANS-1,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,14400,47,86332
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-LOCAL,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,14400,1842,100237
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-TRANS-0,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,14400,9000,82061
Shipment,MOTHERHUB_BLR-COCHINTCHUB_KAM-TRANS-1,12.9842798,77.8242648,10.0435449,76.3367287,MOTHERHUB_BLR,COCHINTCHUB_KAM,14400,629,82061
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-LOCAL,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,14400,4817,86564
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-LOCAL,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,14400,4350,100750
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-TRANS,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,14400,3403,83074
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-TRANS,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,14400,7736,89726
Shipment,MOTHERHUB_KOL-MOTHERHUB_GAU-LOCAL,22.708183,88.28565,26.043197,91.705232,MOTHERHUB_KOL,MOTHERHUB_GAU,14400,3651,103180
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-LOCAL,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,14400,2129,112799
Shipment,MOTHERHUB_KOL-MOTHERHUB_IXR-TRANS,22.708183,88.28565,23.352715,85.343538,MOTHERHUB_KOL,MOTHERHUB_IXR,14400,2765,85151
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-LOCAL,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,14400,4549,89881
Shipment,MOTHERHUB_KOL-MOTHERHUB_PAT-TRANS,22.708183,88.28565,25.587197,85.185842,MOTHERHUB_KOL,MOTHERHUB_PAT,14400,5153,84466
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-LOCAL,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,14400,1365,93131
Shipment,MOTHERHUB_KOL-MOTHERHUB_RAI-TRANS,22.708183,88.28565,22.056106,82.171855,MOTHERHUB_KOL,MOTHERHUB_RAI,14400,2070,98535
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-LOCAL,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,14400,558,99939
Shipment,MOTHERHUB_PTI-MOTHERHUB_ABL-TRANS,28.294166,76.855804,30.396612,76.8116,MOTHERHUB_PTI,MOTHERHUB_ABL,14400,8576,99939
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-LOCAL,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,14400,2383,99769
Shipment,MOTHERHUB_PTI-MOTHERHUB_IDR-TRANS,28.294166,76.855804,22.777113,75.9021171,MOTHERHUB_PTI,MOTHERHUB_IDR,14400,4437,81866
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-TRANS,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,14400,6410,93456
Shipment,MOTHERHUB_PTI-MOTHERHUB_LKO-LOCAL,28.294166,76.855804,26.755912,80.910939,MOTHERHUB_PTI,MOTHERHUB_LKO,14400,3897,97207
