Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Total
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-0.494166666666668,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,1779,84
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-10.2536111111111,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,36913,660
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-11.7775,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,42399,169
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-12.04,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,43344,15
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-17.1358333333333,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,61689,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-17.7452777777778,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,63883,34
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-20.5361111111111,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,73930,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-21.3680555555556,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,76925,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-21.635,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,77886,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-21.8983333333333,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,78834,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-22.1661111111111,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,79798,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-23.6111111111111,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,85000,159
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-3,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,10800,2556
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-8.23305555555555,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,29639,13
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-8.50833333333334,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,30630,13
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-8.78305555555555,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,31619,17
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-8.84416666666667,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,31839,333
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-9.02166666666666,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,32478,68
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-9.17805555555556,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,33041,190
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-9.28833333333333,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,33438,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-0.494166666666668,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,1779,384
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE-10.2536111111111,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,36913,2551
