Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Total
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-0.280277779999999,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,1009,84
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-10.11333333,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,36408,15
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-10.39444444,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,37420,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-11.27611111,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,40594,660
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-14.01166667,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,50442,169
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-17.1358333333333,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,61689,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-17.7452777777778,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,63883,34
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-19.65472222,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,70757,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-19.92194444,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,71719,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-20.18833333,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,72678,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-20.45166667,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,73626,9
Shipment,MOTHERHUB_BIL-MOTHERHUB_GOA-20.72111111,19.2374987,73.0362352,15.3682554,73.946764,MOTHERHUB_BIL,MOTHERHUB_GOA,74596,9
